Outcome,Patch,Blue1,Blue2,Blue3,Blue4,Blue5,Red1,Red2,Red3,Red4,Red5
1,13.01,JaxTop,SejuaniJungle,SylasMid,VarusBot,NautilusSupport,GragasTop,WukongJungle,OriannaMid,SivirBot,KarmaSupport
0,13.01,RenektonTop,SejuaniJungle,RyzeMid,CaitlynBot,AsheSupport,GnarTop,SeraphineJungle,IreliaMid,KindredBot,SonaSupport
1,13.01,OrnnTop,ViegoJungle,SyndraMid,LucianBot,NamiSupport,RenektonTop,WukongJungle,AzirMid,ZeriBot,YuumiSupport
1,13.01,GangplankTop,MaokaiJungle,AzirMid,AsheBot,LuluSupport,JaxTop,SejuaniJungle,SylasMid,JhinBot,KarmaSupport
1,13.01,GnarTop,SejuaniJungle,KassadinMid,LucianBot,NamiSupport,FioraTop,PoppyJungle,SylasMid,VarusBot,KarmaSupport
0,13.01,RenektonTop,ViegoJungle,AkaliMid,ZeriBot,LuluSupport,K'SanteTop,SejuaniJungle,LissandraMid,LucianBot,NamiSupport
0,13.01,GnarTop,EliseJungle,RyzeMid,EzrealBot,KarmaSupport,GangplankTop,WukongJungle,ViktorMid,VarusBot,AsheSupport
0,13.01,FioraTop,WukongJungle,AzirMid,SivirBot,KarmaSupport,K'SanteTop,ViegoJungle,AkaliMid,AsheBot,HeimerdingerSupport
1,13.01,K'SanteTop,ViegoJungle,LeBlancMid,CaitlynBot,KarmaSupport,GwenTop,ViJungle,LuxMid,XayahBot,NautilusSupport
1,13.01,GnarTop,ViJungle,SyndraMid,LucianBot,NamiSupport,K'SanteTop,Rek'SaiJungle,SwainMid,CaitlynBot,KarmaSupport
0,13.01,K'SanteTop,ViJungle,AzirMid,VarusBot,LuluSupport,JaxTop,WukongJungle,AkaliMid,CaitlynBot,AsheSupport
1,13.01,GragasTop,SejuaniJungle,IreliaMid,VarusBot,AsheSupport,JaxTop,Jarvan IVJungle,SylasMid,EzrealBot,KarmaSupport
0,13.01,SejuaniTop,TaliyahJungle,OrnnMid,ZeriBot,LuluSupport,GwenTop,ViJungle,AzirMid,SivirBot,YuumiSupport
1,13.01,JaxTop,SejuaniJungle,SylasMid,LucianBot,NamiSupport,K'SanteTop,MaokaiJungle,TaliyahMid,ApheliosBot,LuluSupport
0,13.01,JaxTop,SejuaniJungle,SylasMid,TwitchBot,AmumuSupport,FioraTop,KindredJungle,TaliyahMid,ZeriBot,LuluSupport
0,13.01,K'SanteTop,SejuaniJungle,AkaliMid,VarusBot,AsheSupport,OlafTop,WukongJungle,RyzeMid,BrandBot,LeonaSupport
0,13.01,K'SanteTop,WukongJungle,SyndraMid,LucianBot,NamiSupport,JayceTop,ViJungle,AkaliMid,VarusBot,AsheSupport
0,13.01,GragasTop,SejuaniJungle,YoneMid,KarthusBot,Renata GlascSupport,JaxTop,WukongJungle,RyzeMid,XayahBot,PykeSupport
0,13.01,K'SanteTop,ViJungle,RyzeMid,EzrealBot,NautilusSupport,RenektonTop,EliseJungle,SyndraMid,VarusBot,ThreshSupport
1,13.01,K'SanteTop,MaokaiJungle,AzirMid,ZeriBot,KarmaSupport,JaxTop,SejuaniJungle,SyndraMid,JhinBot,AsheSupport
0,13.01,GangplankTop,WukongJungle,AzirMid,SamiraBot,NautilusSupport,K'SanteTop,ViJungle,ViktorMid,ZeriBot,YuumiSupport
0,13.01,JaxTop,KindredJungle,KarmaMid,VarusBot,NautilusSupport,K'SanteTop,KarthusJungle,TristanaMid,LucianBot,NamiSupport
0,13.01,UdyrTop,ViegoJungle,ZoeMid,VarusBot,LuluSupport,GangplankTop,ViJungle,RyzeMid,EzrealBot,KarmaSupport
1,13.01,RenektonTop,MaokaiJungle,SylasMid,JhinBot,HeimerdingerSupport,K'SanteTop,ViJungle,ViktorMid,VarusBot,AsheSupport
0,13.01,RenektonTop,MaokaiJungle,KassadinMid,DravenBot,HeimerdingerSupport,OlafTop,SejuaniJungle,SylasMid,VarusBot,LuxSupport
0,13.01,OrnnTop,Jarvan IVJungle,AkaliMid,LucianBot,NamiSupport,FioraTop,ViJungle,LissandraMid,VarusBot,AsheSupport
0,13.01,RenektonTop,ViegoJungle,ZoeMid,VarusBot,NautilusSupport,GnarTop,MaokaiJungle,AzirMid,JhinBot,KarmaSupport
1,13.01,JayceTop,MaokaiJungle,VeigarMid,ApheliosBot,TaricSupport,JaxTop,SejuaniJungle,SylasMid,Kai'SaBot,RakanSupport
0,13.01,SionTop,WukongJungle,TaliyahMid,LucianBot,NamiSupport,GangplankTop,ViJungle,OriannaMid,SamiraBot,NautilusSupport
0,13.01,K'SanteTop,Xin ZhaoJungle,SyndraMid,ZeriBot,YuumiSupport,GwenTop,ViegoJungle,RyzeMid,VarusBot,AsheSupport
0,13.01,K'SanteTop,MaokaiJungle,AzirMid,CaitlynBot,LuxSupport,GnarTop,ViJungle,SylasMid,VarusBot,KarmaSupport
1,13.01,JaxTop,SejuaniJungle,CassiopeiaMid,SivirBot,KarmaSupport,K'SanteTop,EliseJungle,RyzeMid,VarusBot,HeimerdingerSupport
1,13.01,OrnnTop,WukongJungle,AkaliMid,EzrealBot,KarmaSupport,CamilleTop,SejuaniJungle,SyndraMid,LucianBot,NamiSupport
1,13.01,K'SanteTop,SejuaniJungle,ViktorMid,LucianBot,NamiSupport,FioraTop,ViJungle,AzirMid,ZeriBot,LuluSupport
0,13.01,JaxTop,SejuaniJungle,IreliaMid,SivirBot,YuumiSupport,K'SanteTop,WukongJungle,SylasMid,ZeriBot,LuluSupport
0,13.01,CamilleTop,Bel'VethJungle,SyndraMid,LucianBot,NamiSupport,MordekaiserTop,ViJungle,GalioMid,ApheliosBot,LuluSupport
0,13.01,K'SanteTop,UdyrJungle,AkaliMid,ZeriBot,LuluSupport,GnarTop,Xin ZhaoJungle,CassiopeiaMid,LucianBot,NamiSupport
0,13.01,AatroxTop,WukongJungle,AkaliMid,EzrealBot,KarmaSupport,RenektonTop,SejuaniJungle,ViktorMid,JhinBot,AsheSupport
0,13.01,GnarTop,SejuaniJungle,AkaliMid,LucianBot,NamiSupport,OrnnTop,GravesJungle,AzirMid,KalistaBot,AsheSupport
1,13.01,FioraTop,ViJungle,TaliyahMid,EzrealBot,KarmaSupport,AatroxTop,WukongJungle,ViktorMid,ZeriBot,LuluSupport
1,13.01,FioraTop,MaokaiJungle,AzirMid,JhinBot,NautilusSupport,AkaliTop,ViJungle,YoneMid,VarusBot,RakanSupport
0,13.01,RenektonTop,SejuaniJungle,EkkoMid,ZeriBot,LuluSupport,GnarTop,EliseJungle,AzirMid,LucianBot,NamiSupport
1,13.01,RenektonTop,SejuaniJungle,ViktorMid,ZeriBot,YuumiSupport,OrnnTop,WukongJungle,AzirMid,SivirBot,LuluSupport
1,13.01,SionTop,MaokaiJungle,RyzeMid,KalistaBot,SorakaSupport,CamilleTop,ViJungle,ViktorMid,JhinBot,Renata GlascSupport
0,13.01,K'SanteTop,WukongJungle,RyzeMid,XayahBot,YuumiSupport,DariusTop,SejuaniJungle,AzirMid,Kai'SaBot,NautilusSupport
1,13.01,K'SanteTop,MaokaiJungle,SylasMid,EzrealBot,KarmaSupport,OlafTop,SejuaniJungle,AkaliMid,VarusBot,LuluSupport
0,13.01,K'SanteTop,SejuaniJungle,RyzeMid,VarusBot,LeonaSupport,GangplankTop,MaokaiJungle,AzirMid,KalistaBot,NautilusSupport
0,13.01,YoneTop,WukongJungle,AzirMid,LucianBot,NamiSupport,GnarTop,SejuaniJungle,TaliyahMid,ZeriBot,YuumiSupport
1,13.01,JaxTop,ViJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,SejuaniJungle,AkaliMid,ZeriBot,YuumiSupport
0,13.01,OrnnTop,GravesJungle,RyzeMid,ZeriBot,LuluSupport,JayceTop,SejuaniJungle,KassadinMid,DravenBot,KalistaSupport
0,13.01,K'SanteTop,ViJungle,AkaliMid,LucianBot,NamiSupport,RenektonTop,EliseJungle,SylasMid,ZeriBot,YuumiSupport
0,13.01,GwenTop,SejuaniJungle,KassadinMid,LucianBot,NamiSupport,K'SanteTop,EliseJungle,RenektonMid,ZeriBot,YuumiSupport
1,13.01,JaxTop,SejuaniJungle,RyzeMid,VarusBot,NautilusSupport,K'SanteTop,NocturneJungle,KassadinMid,SivirBot,AsheSupport
0,13.01,RenektonTop,EliseJungle,SyndraMid,VarusBot,SorakaSupport,FioraTop,SejuaniJungle,AzirMid,AsheBot,HeimerdingerSupport
0,13.01,GangplankTop,MaokaiJungle,JayceMid,LucianBot,NamiSupport,RenektonTop,ViJungle,RyzeMid,CaitlynBot,LuxSupport
0,13.01,RenektonTop,WukongJungle,SyndraMid,VarusBot,KarmaSupport,JaxTop,MaokaiJungle,JayceMid,AsheBot,HeimerdingerSupport
0,13.01,JaxTop,SejuaniJungle,ViktorMid,VarusBot,SorakaSupport,K'SanteTop,MaokaiJungle,IreliaMid,AsheBot,HeimerdingerSupport
1,13.01,GnarTop,MaokaiJungle,RyzeMid,CaitlynBot,AsheSupport,JaxTop,SejuaniJungle,SyndraMid,VarusBot,HeimerdingerSupport
0,13.01,JaxTop,SejuaniJungle,TaliyahMid,VarusBot,HeimerdingerSupport,ZacTop,WukongJungle,SylasMid,ZeriBot,LuluSupport
1,13.01,GnarTop,MaokaiJungle,SyndraMid,CaitlynBot,LuxSupport,K'SanteTop,ViegoJungle,Twisted FateMid,ZeriBot,YuumiSupport
0,13.01,GnarTop,WukongJungle,GalioMid,LucianBot,NamiSupport,RumbleTop,ViJungle,SettMid,ZeriBot,YuumiSupport
0,13.01,K'SanteTop,ViegoJungle,AzirMid,EzrealBot,AsheSupport,OlafTop,WukongJungle,ViktorMid,VarusBot,HeimerdingerSupport
1,13.01,GwenTop,MaokaiJungle,JayceMid,JhinBot,PykeSupport,K'SanteTop,EliseJungle,AzirMid,CaitlynBot,AsheSupport
1,13.01,K'SanteTop,GravesJungle,AzirMid,LucianBot,NamiSupport,FioraTop,EliseJungle,ViktorMid,SivirBot,YuumiSupport
0,13.01,K'SanteTop,WukongJungle,KassadinMid,VarusBot,HeimerdingerSupport,JaxTop,SejuaniJungle,AzirMid,CaitlynBot,KarmaSupport
1,13.01,SionTop,EliseJungle,AzirMid,SivirBot,YuumiSupport,K'SanteTop,GravesJungle,AkaliMid,VarusBot,LuluSupport
0,13.01,CamilleTop,ViJungle,GalioMid,ZeriBot,YuumiSupport,GnarTop,WukongJungle,SwainMid,LucianBot,NamiSupport
0,13.01,JaxTop,MaokaiJungle,TaliyahMid,JhinBot,BlitzcrankSupport,GangplankTop,SejuaniJungle,ZoeMid,VarusBot,AsheSupport
1,13.01,JaxTop,SejuaniJungle,AkaliMid,JhinBot,Renata GlascSupport,RumbleTop,WukongJungle,KassadinMid,ZeriBot,NautilusSupport
1,13.01,FioraTop,EliseJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,WukongJungle,AkaliMid,ZeriBot,LuluSupport
1,13.01,K'SanteTop,MaokaiJungle,AzirMid,SivirBot,LuluSupport,GwenTop,WukongJungle,AkaliMid,ZeriBot,YuumiSupport
1,13.01,NasusTop,MaokaiJungle,TaliyahMid,LucianBot,NamiSupport,K'SanteTop,ViJungle,SyndraMid,ZeriBot,YuumiSupport
0,13.01,K'SanteTop,EliseJungle,AzirMid,LucianBot,NamiSupport,JaxTop,SejuaniJungle,AkaliMid,ZeriBot,LuluSupport
1,13.01,GwenTop,TrundleJungle,RyzeMid,VarusBot,HeimerdingerSupport,K'SanteTop,SejuaniJungle,AzirMid,CaitlynBot,KarmaSupport
0,13.01,K'SanteTop,SejuaniJungle,CassiopeiaMid,XayahBot,ThreshSupport,RenektonTop,EliseJungle,SylasMid,ApheliosBot,AsheSupport
1,13.01,K'SanteTop,MaokaiJungle,AkaliMid,EzrealBot,AsheSupport,FioraTop,SejuaniJungle,SylasMid,SivirBot,KarmaSupport
1,13.01,FioraTop,ViJungle,ViktorMid,LucianBot,NamiSupport,GangplankTop,WukongJungle,AzirMid,ZeriBot,YuumiSupport
1,13.01,OrnnTop,WukongJungle,TaliyahMid,JhinBot,HeimerdingerSupport,IreliaTop,SejuaniJungle,SyndraMid,VarusBot,KarmaSupport
0,13.01,K'SanteTop,PoppyJungle,SyndraMid,SivirBot,KarmaSupport,GnarTop,Jarvan IVJungle,ViktorMid,ZeriBot,LuluSupport
1,13.01,SejuaniTop,ViegoJungle,LissandraMid,CaitlynBot,LuxSupport,K'SanteTop,EliseJungle,KassadinMid,LucianBot,NamiSupport
1,13.01,FioraTop,ViJungle,ViktorMid,JhinBot,NautilusSupport,K'SanteTop,WukongJungle,TaliyahMid,VarusBot,AsheSupport
0,13.01,OlafTop,KindredJungle,RyzeMid,XayahBot,BlitzcrankSupport,JaxTop,ViJungle,AkaliMid,ZeriBot,AsheSupport
0,13.01,K'SanteTop,MaokaiJungle,SyndraMid,JhinBot,XerathSupport,GwenTop,GravesJungle,LuxMid,CaitlynBot,ZoeSupport
1,13.01,JayceTop,MaokaiJungle,RyzeMid,JhinBot,Tahm KenchSupport,FioraTop,Jarvan IVJungle,ViktorMid,VarusBot,NautilusSupport
0,13.01,AkaliTop,KindredJungle,SyndraMid,XayahBot,RakanSupport,K'SanteTop,DianaJungle,YasuoMid,ZeriBot,GalioSupport
1,13.01,CamilleTop,MaokaiJungle,LeBlancMid,EzrealBot,KarmaSupport,FioraTop,WukongJungle,AzirMid,CaitlynBot,LuxSupport
1,13.01,JaxTop,SejuaniJungle,AkaliMid,XayahBot,NautilusSupport,GarenTop,WukongJungle,AzirMid,AsheBot,AlistarSupport
1,13.01,K'SanteTop,MaokaiJungle,AzirMid,JhinBot,NautilusSupport,GnarTop,WukongJungle,SyndraMid,VarusBot,AsheSupport
1,13.01,K'SanteTop,WukongJungle,AzirMid,VarusBot,KarmaSupport,RenektonTop,RumbleJungle,YoneMid,ZeriBot,LuluSupport
0,13.01,IllaoiTop,UdyrJungle,OriannaMid,AsheBot,HeimerdingerSupport,RenektonTop,SejuaniJungle,KassadinMid,VarusBot,BardSupport
1,13.01,GwenTop,SejuaniJungle,TryndamereMid,VarusBot,KarmaSupport,OrnnTop,WukongJungle,AzirMid,EzrealBot,HeimerdingerSupport
0,13.01,GwenTop,Xin ZhaoJungle,AzirMid,LucianBot,NamiSupport,AatroxTop,ViJungle,RyzeMid,ZeriBot,LuluSupport
0,13.01,GnarTop,SejuaniJungle,ViktorMid,VarusBot,AsheSupport,K'SanteTop,MaokaiJungle,IreliaMid,JhinBot,HeimerdingerSupport
0,13.01,FioraTop,WukongJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,ViJungle,TaliyahMid,ZeriBot,LuluSupport
1,13.01,GnarTop,WukongJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,SejuaniJungle,KassadinMid,VarusBot,AsheSupport
1,13.01,GnarTop,SejuaniJungle,RyzeMid,ZeriBot,YuumiSupport,K'SanteTop,MaokaiJungle,AkaliMid,LucianBot,NamiSupport
1,13.01,JaxTop,WukongJungle,RyzeMid,ZeriBot,YuumiSupport,GnarTop,Lee SinJungle,LeBlancMid,LucianBot,NamiSupport
0,13.01,GwenTop,WukongJungle,ViktorMid,VarusBot,KarmaSupport,K'SanteTop,SejuaniJungle,AkaliMid,SivirBot,CaitlynSupport
0,13.01,RenektonTop,SejuaniJungle,ViktorMid,AsheBot,KarmaSupport,K'SanteTop,WukongJungle,SylasMid,VarusBot,CaitlynSupport
0,13.01,K'SanteTop,GragasJungle,AzirMid,LucianBot,NamiSupport,GnarTop,SejuaniJungle,SyndraMid,DravenBot,AsheSupport
1,13.01,GnarTop,SejuaniJungle,AzirMid,DravenBot,AsheSupport,AkaliTop,WukongJungle,SyndraMid,LucianBot,NamiSupport
0,13.01,OlafTop,EliseJungle,RyzeMid,SivirBot,CaitlynSupport,TryndamereTop,ViJungle,KassadinMid,VarusBot,AsheSupport
0,13.01,K'SanteTop,Jarvan IVJungle,SyndraMid,CaitlynBot,AsheSupport,JaxTop,WukongJungle,SylasMid,JhinBot,HeimerdingerSupport
1,13.01,GnarTop,ViJungle,LissandraMid,JhinBot,HeimerdingerSupport,JayceTop,SejuaniJungle,AzirMid,VarusBot,KarmaSupport
0,13.01,OrnnTop,MaokaiJungle,TristanaMid,SivirBot,YuumiSupport,RenektonTop,EliseJungle,SyndraMid,ZeriBot,LuluSupport
1,13.01,CamilleTop,MaokaiJungle,KassadinMid,EzrealBot,NamiSupport,FioraTop,SejuaniJungle,SylasMid,VarusBot,KarmaSupport
0,13.01,K'SanteTop,EliseJungle,ViktorMid,LucianBot,NamiSupport,JaxTop,Bel'VethJungle,Twisted FateMid,DravenBot,NautilusSupport
0,13.01,OlafTop,Jarvan IVJungle,RyzeMid,JhinBot,KarmaSupport,JaxTop,EliseJungle,TristanaMid,SivirBot,BardSupport
0,13.01,RenektonTop,ViJungle,SylasMid,LucianBot,NamiSupport,GnarTop,WukongJungle,KassadinMid,VarusBot,NautilusSupport
0,13.01,ZacTop,WukongJungle,AkaliMid,ZeriBot,LuluSupport,JaxTop,SejuaniJungle,Twisted FateMid,SivirBot,YuumiSupport
0,13.01,K'SanteTop,Jarvan IVJungle,AzirMid,LucianBot,NamiSupport,FioraTop,SejuaniJungle,SylasMid,VarusBot,AsheSupport
1,13.01,JaxTop,SejuaniJungle,SylasMid,VarusBot,AsheSupport,GragasTop,WukongJungle,AkaliMid,ZeriBot,NautilusSupport
1,13.01,K'SanteTop,SejuaniJungle,AkaliMid,ZeriBot,BraumSupport,FioraTop,ViegoJungle,Vel'KozMid,DravenBot,NautilusSupport
0,13.01,JaxTop,Bel'VethJungle,LeBlancMid,EzrealBot,KarmaSupport,OlafTop,SejuaniJungle,AzirMid,VayneBot,AsheSupport
0,13.01,GangplankTop,WukongJungle,Twisted FateMid,LucianBot,NamiSupport,OlafTop,SejuaniJungle,KassadinMid,AsheBot,NautilusSupport
1,13.01,RenektonTop,SejuaniJungle,KassadinMid,AsheBot,HeimerdingerSupport,GangplankTop,WukongJungle,SyndraMid,SivirBot,YuumiSupport
1,13.01,SettTop,WukongJungle,TaliyahMid,ZeriBot,YuumiSupport,K'SanteTop,ViJungle,KassadinMid,SamiraBot,NautilusSupport
0,13.01,CamilleTop,KaynJungle,SyndraMid,JhinBot,AsheSupport,SejuaniTop,ViegoJungle,GalioMid,VarusBot,HeimerdingerSupport
1,13.01,ShenTop,MaokaiJungle,AkshanMid,CaitlynBot,KarmaSupport,OlafTop,SejuaniJungle,VladimirMid,VarusBot,AsheSupport
1,13.01,GwenTop,WukongJungle,SyndraMid,ZeriBot,YuumiSupport,K'SanteTop,ViJungle,AkaliMid,XayahBot,NautilusSupport
1,13.01,SejuaniTop,ViegoJungle,GalioMid,CaitlynBot,LuxSupport,K'SanteTop,GravesJungle,ViktorMid,JhinBot,HeimerdingerSupport
0,13.01,GnarTop,WukongJungle,AkaliMid,VarusBot,AsheSupport,IreliaTop,ViJungle,ViktorMid,ZeriBot,LuluSupport
1,13.01,CamilleTop,EliseJungle,ZoeMid,KalistaBot,AsheSupport,RenektonTop,MaokaiJungle,TaliyahMid,ZeriBot,LuluSupport
1,13.01,FioraTop,EliseJungle,ZiggsMid,LucianBot,NamiSupport,GnarTop,ViJungle,ViktorMid,ZeriBot,LuluSupport
0,13.01,RenektonTop,MaokaiJungle,SyndraMid,VarusBot,AsheSupport,GnarTop,SejuaniJungle,AzirMid,CaitlynBot,LuxSupport
1,13.01,AkaliTop,ViJungle,AhriMid,LucianBot,NamiSupport,GnarTop,SejuaniJungle,SyndraMid,VarusBot,AsheSupport
1,13.01,GnarTop,SejuaniJungle,AkaliMid,CaitlynBot,KarmaSupport,RenektonTop,MaokaiJungle,SylasMid,VarusBot,HeimerdingerSupport
0,13.01,K'SanteTop,Lee SinJungle,AkaliMid,DravenBot,NamiSupport,RenektonTop,EliseJungle,LucianMid,SamiraBot,AmumuSupport
0,13.01,Lee SinTop,SejuaniJungle,RyzeMid,JhinBot,YuumiSupport,GnarTop,EliseJungle,IreliaMid,CaitlynBot,LuxSupport
1,13.01,FioraTop,MaokaiJungle,YoneMid,KalistaBot,AsheSupport,KennenTop,SejuaniJungle,AkaliMid,ZeriBot,YuumiSupport
0,13.01,GwenTop,WukongJungle,YoneMid,CaitlynBot,LuxSupport,K'SanteTop,SejuaniJungle,AkaliMid,AsheBot,KarmaSupport
0,13.01,JayceTop,MaokaiJungle,XerathMid,CaitlynBot,KarmaSupport,RenektonTop,EliseJungle,IreliaMid,EzrealBot,AsheSupport
1,13.01,KennenTop,SejuaniJungle,SwainMid,LucianBot,NamiSupport,GnarTop,ViJungle,AzirMid,ZeriBot,LuluSupport
0,13.01,GnarTop,MaokaiJungle,IreliaMid,SivirBot,YuumiSupport,K'SanteTop,SejuaniJungle,KassadinMid,ZeriBot,LuluSupport
1,13.01,OlafTop,ViJungle,AhriMid,ZeriBot,LuluSupport,CamilleTop,SejuaniJungle,SylasMid,VarusBot,AsheSupport
1,13.01,JayceTop,EliseJungle,GalioMid,LucianBot,NamiSupport,K'SanteTop,WukongJungle,LissandraMid,ZeriBot,LuluSupport
0,13.01,JaxTop,ViJungle,AzirMid,CaitlynBot,NamiSupport,K'SanteTop,WukongJungle,SylasMid,LucianBot,KarmaSupport
1,13.01,JayceTop,Lee SinJungle,LissandraMid,AsheBot,HeimerdingerSupport,IreliaTop,NidaleeJungle,SionMid,VarusBot,KarmaSupport
1,13.01,K'SanteTop,ViJungle,RyzeMid,VarusBot,LeonaSupport,GnarTop,SejuaniJungle,SylasMid,SivirBot,HeimerdingerSupport
0,13.01,GnarTop,MaokaiJungle,SylasMid,CaitlynBot,LuxSupport,K'SanteTop,SejuaniJungle,AkaliMid,VarusBot,HeimerdingerSupport
0,13.01,CamilleTop,MaokaiJungle,RenektonMid,SivirBot,YuumiSupport,GwenTop,ViJungle,SylasMid,VarusBot,HeimerdingerSupport
1,13.01,GnarTop,WukongJungle,AkaliMid,LucianBot,NamiSupport,IreliaTop,ViJungle,ViktorMid,ZeriBot,YuumiSupport
1,13.01,GwenTop,WukongJungle,SyndraMid,LucianBot,NamiSupport,AkaliTop,ViJungle,AzirMid,ZeriBot,LuluSupport
1,13.01,GangplankTop,EliseJungle,YoneMid,SivirBot,KarmaSupport,RenektonTop,SejuaniJungle,SylasMid,VarusBot,AsheSupport
0,13.01,K'SanteTop,SejuaniJungle,TaliyahMid,DravenBot,NautilusSupport,GnarTop,TrundleJungle,SylasMid,LucianBot,NamiSupport
0,13.01,JaxTop,EliseJungle,QiyanaMid,Miss FortuneBot,NautilusSupport,GangplankTop,ViegoJungle,SyndraMid,AsheBot,RellSupport
1,13.01,DariusTop,MaokaiJungle,AzirMid,JhinBot,Tahm KenchSupport,K'SanteTop,SejuaniJungle,AkaliMid,VarusBot,ThreshSupport
0,13.01,PoppyTop,MaokaiJungle,AhriMid,LucianBot,NamiSupport,JaxTop,SejuaniJungle,KatarinaMid,SivirBot,LuluSupport
1,13.01,GnarTop,SejuaniJungle,AkaliMid,LucianBot,YuumiSupport,RenektonTop,MaokaiJungle,TristanaMid,EzrealBot,NamiSupport
0,13.01,JaxTop,SejuaniJungle,SylasMid,SivirBot,LuluSupport,PoppyTop,MaokaiJungle,AkaliMid,ZeriBot,YuumiSupport
1,13.01,K'SanteTop,MaokaiJungle,JayceMid,LucianBot,NamiSupport,FioraTop,WukongJungle,LissandraMid,VarusBot,HeimerdingerSupport
0,13.01,K'SanteTop,UdyrJungle,RyzeMid,LucianBot,NamiSupport,GwenTop,ViJungle,CassiopeiaMid,VarusBot,AsheSupport
0,13.01,RenektonTop,WukongJungle,SyndraMid,SivirBot,YuumiSupport,GnarTop,ViJungle,AhriMid,VarusBot,AlistarSupport
1,13.01,UdyrTop,MaokaiJungle,JayceMid,EzrealBot,ZyraSupport,OlafTop,SejuaniJungle,AkaliMid,JhinBot,AsheSupport
0,13.01,K'SanteTop,SejuaniJungle,SyndraMid,ZeriBot,KarmaSupport,OlafTop,MaokaiJungle,ViktorMid,CaitlynBot,HeimerdingerSupport
0,13.01,RenektonTop,SejuaniJungle,ViktorMid,SivirBot,YuumiSupport,KennenTop,EliseJungle,SettMid,KalistaBot,CaitlynSupport
0,13.01,AatroxTop,MaokaiJungle,SylasMid,SivirBot,LuluSupport,GangplankTop,SejuaniJungle,KassadinMid,VarusBot,KarmaSupport
0,13.01,GwenTop,ViJungle,RyzeMid,VarusBot,LeonaSupport,K'SanteTop,WukongJungle,AzirMid,ZeriBot,BraumSupport
1,13.01,K'SanteTop,KarthusJungle,JayceMid,VarusBot,PykeSupport,CamilleTop,UdyrJungle,AkaliMid,EzrealBot,ZyraSupport
1,13.01,K'SanteTop,EliseJungle,TaliyahMid,AsheBot,RakanSupport,FioraTop,WukongJungle,KassadinMid,VarusBot,LeonaSupport
0,13.01,GangplankTop,WukongJungle,ViktorMid,SivirBot,HeimerdingerSupport,SionTop,ViJungle,AzirMid,ZeriBot,LuluSupport
0,13.01,JaxTop,WukongJungle,RyzeMid,SivirBot,SeraphineSupport,GragasTop,ViJungle,ViktorMid,XayahBot,AsheSupport
0,13.01,K'SanteTop,MaokaiJungle,YoneMid,CaitlynBot,AsheSupport,JaxTop,Lee SinJungle,SyndraMid,JhinBot,HeimerdingerSupport
0,13.01,RenektonTop,ViJungle,AhriMid,EzrealBot,AsheSupport,K'SanteTop,GravesJungle,GalioMid,VarusBot,HeimerdingerSupport
1,13.01,K'SanteTop,MaokaiJungle,AzirMid,VarusBot,NautilusSupport,OlafTop,SylasJungle,CorkiMid,LucianBot,NamiSupport
1,13.01,FioraTop,MaokaiJungle,AzirMid,JhinBot,LuxSupport,KennenTop,SejuaniJungle,SylasMid,VarusBot,AmumuSupport
1,13.01,RenektonTop,SejuaniJungle,SylasMid,JhinBot,XerathSupport,JayceTop,MaokaiJungle,TryndamereMid,SivirBot,HeimerdingerSupport
1,13.01,SejuaniTop,KindredJungle,LissandraMid,JhinBot,AsheSupport,RenektonTop,WukongJungle,KassadinMid,VarusBot,HeimerdingerSupport
0,13.01,OrnnTop,ViJungle,AzirMid,DravenBot,NautilusSupport,RenektonTop,SejuaniJungle,ViktorMid,VarusBot,SettSupport
0,13.01,GnarTop,WukongJungle,AzirMid,SivirBot,YuumiSupport,JaxTop,UdyrJungle,YoneMid,VarusBot,LuxSupport
1,13.01,K'SanteTop,ViJungle,KassadinMid,AsheBot,KarmaSupport,JaxTop,WukongJungle,SylasMid,JhinBot,Tahm KenchSupport
0,13.01,FioraTop,WukongJungle,ViktorMid,XayahBot,BraumSupport,SejuaniTop,ViJungle,LeBlancMid,LucianBot,NamiSupport
0,13.01,GangplankTop,ZacJungle,SyndraMid,VarusBot,AsheSupport,JayceTop,MaokaiJungle,AkaliMid,JhinBot,HeimerdingerSupport
1,13.01,RenektonTop,EliseJungle,YoneMid,ZeriBot,LuluSupport,JaxTop,WukongJungle,AkaliMid,LucianBot,NamiSupport
1,13.01,JaxTop,SejuaniJungle,UdyrMid,JhinBot,AsheSupport,FioraTop,ViegoJungle,AhriMid,VarusBot,KarmaSupport
0,13.01,K'SanteTop,ViJungle,SylasMid,DravenBot,AmumuSupport,FioraTop,EliseJungle,CassiopeiaMid,LucianBot,NamiSupport
1,13.01,JayceTop,ViJungle,AhriMid,LucianBot,NamiSupport,FioraTop,SejuaniJungle,SwainMid,SivirBot,YuumiSupport
1,13.01,GnarTop,MaokaiJungle,SyndraMid,LucianBot,NamiSupport,GangplankTop,EliseJungle,ZoeMid,ZeriBot,LuluSupport
1,13.01,CamilleTop,SejuaniJungle,AkaliMid,LucianBot,NamiSupport,GragasTop,GravesJungle,LeBlancMid,EzrealBot,KarmaSupport
1,13.01,GwenTop,ViJungle,ZoeMid,DravenBot,NautilusSupport,FioraTop,WukongJungle,KassadinMid,CaitlynBot,KarmaSupport
